Function,Invocations(%),#Invocations
ctermid,0,0
ctime,0,0
ctime_r,0,0
dbm_clearerr,0,0
dbm_close,0,0
dbm_delete,0,0
dbm_error,0,0
dbm_fetch,0,0
dbm_firstkey,0,0
dbm_nextkey,0,0
dbm_open,0,0
dbm_store,0,0
difftime,0,0
dirname,0,0
div,0,0
dlclose,0,0
dlerror,0,0
dlopen,0,0
dlsym,0,0
dprintf,0,0
drand48,0,0
duplocale,0,0
encrypt,0,0
endgrent,0,0
endhostent,0,0
endnetent,0,0
endprotoent,0,0
endservent,0,0
endutxent,0,0
erand48,0,0
erf,0,0
erfc,0,0
erfcf,0,0
erfcl,0,0
erff,0,0
erfl,0,0
execl,0,0
execle,0,0
execlp,0,0
exit,0,0
_exit,0,0
_Exit,0,0
exp,0,0
exp2,0,0
exp2f,0,0
exp2l,0,0
expf,0,0
expl,0,0
expm1,0,0
expm1f,0,0
expm1l,0,0
fabs,0,0
fabsf,0,0
fabsl,0,0
fattach,0,0
fchmodat,0,0
fchownat,0,0
fcntl,0,0
fdatasync,0,0
FD_CLR,0,0
fdetach,0,0
fdim,0,0
fdimf,0,0
fdiml,0,0
FD_ISSET,0,0
fdopendir,0,0
FD_SET,0,0
FD_ZERO,0,0
feclearexcept,0,0
fegetenv,0,0
fegetexceptflag,0,0
fegetround,0,0
feholdexcept,0,0
feraiseexcept,0,0
ferror,0,0
fesetenv,0,0
fesetexceptflag,0,0
fesetround,0,0
fetestexcept,0,0
feupdateenv,0,0
fexecve,0,0
fgetpos,0,0
fgetwc,0,0
fgetws,0,0
floor,0,0
floorf,0,0
floorl,0,0
fma,0,0
fmaf,0,0
fmal,0,0
fmax,0,0
fmaxf,0,0
fmaxl,0,0
fmemopen,0,0
fmin,0,0
fminf,0,0
fminl,0,0
fmod,0,0
fmodf,0,0
fmodl,0,0
fmtmsg,0,0
fnmatch,0,0
fpclassify,0,0
fprintf,0,0
fputwc,0,0
fputws,0,0
freelocale,0,0
frexp,0,0
frexpf,0,0
frexpl,0,0
fscanf,0,0
fsetpos,0,0
fstat,0,0
fstatat,0,0
ftok,0,0
ftrylockfile,0,0
ftw,0,0
futimens,0,0
fwide,0,0
fwprintf,0,0
fwscanf,0,0
gai_strerror,0,0
getc,0,0
getchar,0,0
getchar_unlocked,0,0
getc_unlocked,0,0
getdate,0,0
getdelim,0,0
getenv,0,0
getgrent,0,0
getgrgid_r,0,0
getgrnam_r,0,0
gethostent,0,0
gethostid,0,0
getitimer,0,0
getlogin,0,0
getlogin_r,0,0
getmsg,0,0
getnameinfo,0,0
getnetbyaddr,0,0
getnetbyname,0,0
getnetent,0,0
getopt,0,0
getpgid,0,0
getpmsg,0,0
getpriority,0,0
getprotobyname,0,0
getprotobynumber,0,0
getprotoent,0,0
getpwent,0,0
getrlimit,0,0
gets,0,0
getservbyname,0,0
getservbyport,0,0
getservent,0,0
getsid,0,0
getsubopt,0,0
getutxent,0,0
